"Year","Make","Model","Price","Trim","Body","Mileage","VIN","TitleType","ExteriorColor","InteriorColor","Transmission","Drive","Cylinders","Horsepower","Torque","PriorUse","EngineLiter"
2014,"Acura","ILX",18998,NA,NA,19000,NA,NA,"Burgundy","Tan","Automatic","2WD",4,"150horsepower@6500rpm","140torque@4300rpm","Fleet",2
2014,"Acura","RLX",24998,NA,NA,21000,NA,NA,"Gray","Black","Automatic","2WD",6,"310horsepower@6500rpm","272torque@4500rpm","Fleet",3.5
2013,"Acura","TL",19599,NA,NA,32000,NA,NA,"Silver","Gray","Automatic","2WD",6,"280horsepower@6200rpm","254torque@5000rpm","Fleet",3.5
2013,"Acura","TL",19599,NA,NA,32000,NA,NA,"Silver","Gray","Automatic","2WD",6,"280horsepower@6200rpm","254torque@5000rpm","Fleet",3.5
2010,"Acura","TL",15599,NA,NA,78000,NA,NA,"Silver","Black","Automatic","2WD",6,"280horsepower@6200rpm","254torque@5000rpm","Fleet",3.5
2014,"Audi","SQ5",42998,"Prestige",NA,26000,NA,NA,"White","Black","Automatic","4WD",6,"354horsepower@6000rpm","347torque@4000rpm","Fleet",3
2014,"Audi","SQ5",42998,"Prestige",NA,26000,NA,NA,"White","Black","Automatic","4WD",6,"354horsepower@6000rpm","347torque@4000rpm","Fleet",3
2013,"BMW","328",19998,"XI",NA,55000,NA,NA,"Gold","Brown","Automatic","4WD",4,"240horsepower@5000rpm","255torque@1250rpm","Fleet",2
2013,"BMW","328",18599,"XI",NA,53000,NA,NA,"White","Tan","Automatic","4WD",4,"240horsepower@5000rpm","255torque@1250rpm","Fleet",2
2013,"BMW","328",18599,"XI",NA,53000,NA,NA,"White","Tan","Automatic","4WD",4,"240horsepower@5000rpm","255torque@1250rpm","Fleet",2
2014,"BMW","X1",28998,"XDrive35i",NA,12000,NA,NA,"Blue","Black","Automatic","4WD",6,"300horsepower@5800rpm","300torque@1300rpm","Fleet",3
2011,"BMW","X3",28998,"XDrive35i",NA,21000,NA,NA,"White","Black","Automatic","4WD",6,"300horsepower@5800rpm","300torque@1300rpm","Fleet",3
2014,"BMW","X6",43998,"XDrive50i",NA,30000,NA,NA,"White","Brown","Automatic","4WD",8,"400horsepower@5500rpm","450torque@1750rpm","Fleet",4.4
2016,"Buick","Enclave",35998,"Leather",NA,13000,NA,NA,"Silver","Black","Automatic","4WD",6,"288horsepower@6300rpm","270torque@3400rpm","Fleet",3.6
2016,"Buick","Enclave",35998,"Leather",NA,10000,NA,NA,"Silver","Black","Automatic","4WD",6,"288horsepower@6300rpm","270torque@3400rpm","Fleet",3.6
2015,"Buick","LaCrosse",19998,"Leather",NA,33000,NA,NA,"Black","Black","Automatic","2WD",6,"303horsepower@6800rpm","264torque@5300rpm","Fleet",3.6
2006,"Buick","Lucerne",10599,"CXL",NA,54000,NA,NA,"Silver","Gray","Automatic","2WD",6,"197horsepower@5200rpm","227torque@3800rpm","Fleet",3.8
2015,"Buick","Verano",14998,"Convenience",NA,32000,NA,NA,"Gray","Gray","Automatic","2WD",4,"180horsepower@6700rpm","171torque@4900rpm","Fleet",2.4
2015,"Buick","Verano",15998,"Convenience",NA,24000,NA,NA,"Black","Gray","Automatic","2WD",4,"180horsepower@6700rpm","171torque@4900rpm","Fleet",2.4
2015,"Buick","Verano",15998,"Convenience",NA,24000,NA,NA,"Black","Gray","Automatic","2WD",4,"180horsepower@6700rpm","171torque@4900rpm","Fleet",2.4
2014,"Buick","Verano",14998,NA,NA,22000,NA,NA,"Gray","Gray","Automatic","2WD",4,"180horsepower@6700rpm","171torque@4900rpm","Fleet",2.4
2014,"Buick","Verano",14599,NA,NA,31000,NA,NA,"Gray","Gray","Automatic","2WD",4,"180horsepower@6700rpm","171torque@4900rpm","Fleet",2.4
2014,"Cadillac","Escalade",45998,"Platinum",NA,44000,NA,NA,"White","Black","Automatic","4WD",8,"403horsepower@5700rpm","417torque@4300rpm","Fleet",6.2
2014,"Cadillac","SRX",30998,"Premium",NA,36000,NA,NA,"Black","Tan","Automatic","4WD",6,"308horsepower@6800rpm","265torque@2400rpm","Fleet",3.6
2016,"Cadillac","XTS",31998,"Luxury",NA,15000,NA,NA,"Silver","Tan","Automatic","4WD",6,"305horsepower@6800rpm","264torque@5200rpm","Fleet",3.6
2012,"Chevrolet","Captiva",13998,"Sport LT",NA,63000,NA,NA,"Black","Gray","Automatic","2WD",6,"264horsepower@6950rpm","222torque@5100rpm","Fleet",3
2012,"Chevrolet","Captiva",13998,"Sport LT",NA,63000,NA,NA,"Black","Gray","Automatic","2WD",6,"264horsepower@6950rpm","222torque@5100rpm","Fleet",3
2011,"Chevrolet","Cruze",9998,"LT",NA,87000,NA,NA,"Red","Gray","Automatic","2WD",4,"138horsepower@4900rpm","148torque@1850rpm","Fleet",1.4
2011,"Chevrolet","Cruze",9998,"LT",NA,87000,NA,NA,"Red","Gray","Automatic","2WD",4,"138horsepower@4900rpm","148torque@1850rpm","Fleet",1.4
2013,"Chevrolet","Cruze",11998,"LT",NA,56000,NA,NA,"Silver","Black","Automatic","2WD",4,"138horsepower@4900rpm","148torque@1850rpm","Fleet",1.4
2013,"Chevrolet","Cruze",11998,"LT",NA,56000,NA,NA,"Silver","Black","Automatic","2WD",4,"138horsepower@4900rpm","148torque@1850rpm","Fleet",1.4
2014,"Chevrolet","Cruze",12998,"LT",NA,25000,NA,NA,"Red","Black","Automatic","2WD",4,"138horsepower@4900rpm","148torque@1850rpm","Fleet",1.4
2016,"Chevrolet","Cruze",19998,"Premier",NA,8000,NA,NA,"Red","Black","Automatic","2WD",4,"153horsepower@5600rpm","177torque@2000rpm","Fleet",1.4
2016,"Chevrolet","Cruze",21998,"Premier",NA,6000,NA,NA,"Blue","Gray","Automatic","2WD",4,"153horsepower@5600rpm","177torque@2000rpm","Fleet",1.4
2016,"Chevrolet","Cruze",19599,"Premier",NA,10000,NA,NA,"Black","Black","Automatic","2WD",4,"153horsepower@5600rpm","177torque@2000rpm","Fleet",1.4
2016,"Chevrolet","Cruze",18998,"Premier",NA,15000,NA,NA,"Gray","Black","Automatic","2WD",4,"153horsepower@5600rpm","177torque@2000rpm","Fleet",1.4
2016,"Chevrolet","Cruze",18998,"Premier",NA,11000,NA,NA,"Red","Black","Automatic","2WD",4,"153horsepower@5600rpm","177torque@2000rpm","Fleet",1.4
2016,"Chevrolet","Cruze",19599,"Premier",NA,7000,NA,NA,"Silver","Black","Automatic","2WD",4,"153horsepower@5600rpm","177torque@2000rpm","Fleet",1.4
2006,"Chevrolet","Equinox",8998,"LS",NA,114000,NA,NA,"Silver","Gray","Automatic","4WD",6,"185horsepower@5200rpm","210torque@3800rpm","Fleet",3.4
2016,"Chevrolet","Equinox",20599,"LT",NA,24000,NA,NA,"Black","Black","Automatic","4WD",4,"N/A","N/A","Fleet",2.4
2016,"Chevrolet","Equinox",20998,"LT",NA,16000,NA,NA,"Gray","Gray","Automatic","2WD",4,"182horsepower@6700rpm","172torque@4900rpm","Fleet",2.4
2016,"Chevrolet","Equinox",23599,"LTZ",NA,16000,NA,NA,"Red","Black","Automatic","2WD",4,"182horsepower@6700rpm","172torque@4900rpm","Fleet",2.4
2016,"Chevrolet","Impala",16998,"LS",NA,13000,NA,NA,"White","Gray","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2015,"Chevrolet","Impala",15998,"LS",NA,41000,NA,NA,"Gray","Gray","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",16599,"LS",NA,15000,NA,NA,"White","Gray","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",15998,"LS",NA,20000,NA,NA,"White","Gray","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",16998,"LS",NA,20000,NA,NA,"Silver","Gray","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",17998,"LT",NA,21000,NA,NA,"Black","Black","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2015,"Chevrolet","Impala",16998,"LT",NA,36000,NA,NA,"Black","Black","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2015,"Chevrolet","Impala",16998,"LT",NA,36000,NA,NA,"Black","Black","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",17998,"LT",NA,16000,NA,NA,"White","Black","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",18599,"LT",NA,20000,NA,NA,"Black","Black","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",17599,"LT",NA,17000,NA,NA,"Silver","Black","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2015,"Chevrolet","Impala",16998,"LT",NA,42000,NA,NA,"Gray","Gray","Automatic","2WD",6,"305horsepower@6800rpm","264torque@5300rpm","Fleet",3.6
2014,"Chevrolet","Impala",17998,"LT",NA,45000,NA,NA,"Blue","Black","Automatic","2WD",4,"195horsepower@6300rpm","187torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",18998,"LT",NA,12000,NA,NA,"Black","Black","Automatic","2WD",4,"196horsepower@6300rpm","186torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Impala",13998,"Limited LT",NA,22000,NA,NA,"Gray","Gray","Automatic","2WD",6,"N/A","N/A","Fleet",3.6
2015,"Chevrolet","Malibu",NA,"LS",NA,33000,NA,NA,"White","Gray","Automatic","2WD",4,"196horsepower@6300rpm","191torque@4400rpm","Fleet",2.5
2010,"Chevrolet","Malibu",7998,"LT",NA,112000,NA,NA,"Silver","Gray","Automatic","2WD",4,"169horsepower@6400rpm","160torque@4500rpm","Fleet",2.4
2015,"Chevrolet","Malibu",16599,"LTZ",NA,41000,NA,NA,"Burgundy","Brown","Automatic","2WD",4,"196horsepower@6300rpm","191torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Malibu",27998,"Premier",NA,8000,NA,NA,"White","Black","Automatic","2WD",4,"250horsepower@5300rpm","260torque@2000rpm","Fleet",2
2016,"Chevrolet","Malibu",15998,"Limited LTZ",NA,34000,NA,NA,"Silver","Black","Automatic","2WD",4,"196horsepower@6300rpm","191torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Malibu",14998,"Limited LTZ",NA,34000,NA,NA,"Gold","Black","Automatic","2WD",4,"196horsepower@6300rpm","191torque@4400rpm","Fleet",2.5
2016,"Chevrolet","Malibu",14998,"Limited LTZ",NA,38000,NA,NA,"Silver","Black","Automatic","2WD",4,"196horsepower@6300rpm","191torque@4400rpm","Fleet",2.5
2012,"Chevrolet","Silverado",22998,"1500 LS",NA,54000,NA,NA,"Blue","Black","Automatic","4WD",8,"302horsepower@5600rpm","305torque@4600rpm","Fleet",4.8
2009,"Chevrolet","Silverado",24998,"1500 LT",NA,53000,NA,NA,"Green","Gray","Automatic","4WD",8,"315horsepower@5200rpm","338torque@4400rpm","Fleet",5.3
2011,"Chevrolet","Silverado",21998,"1500 LT",NA,77000,NA,NA,"Gray","Black","Automatic","4WD",8,"315horsepower@5200rpm","335torque@4000rpm","Fleet",5.3
2009,"Chevrolet","Silverado",23998,"1500 LT",NA,70000,NA,NA,"Red","Black","Automatic","4WD",8,"315horsepower@5200rpm","338torque@4400rpm","Fleet",5.3
2014,"Chevrolet","Silverado",20599,"1500 Work Truck",NA,11000,NA,NA,"Silver","Gray","Automatic","2WD",6,"285horsepower@5300rpm","305torque@3900rpm","Fleet",4.3
2014,"Chevrolet","Sonic",10998,"LT",NA,39000,NA,NA,"Black","Black","Manual5Speed","2WD",4,"138horsepower@6300rpm","125torque@3800rpm","Fleet",1.8
2014,"Chevrolet","Sonic",10998,"LT",NA,39000,NA,NA,"Black","Black","Manual5Speed","2WD",4,"138horsepower@6300rpm","125torque@3800rpm","Fleet",1.8
2015,"Chevrolet","Sonic",13998,"LTZ",NA,14000,NA,NA,"Black","Black","Automatic","2WD",4,"138horsepower@4900rpm","148torque@1850rpm","Fleet",1.4
2015,"Chevrolet","Spark",10599,"LT",NA,35000,NA,NA,"Red","Red","Automatic","2WD",4,"84horsepower@6400rpm","83torque@4200rpm","Fleet",1.2
2008,"Chevrolet","Tahoe",16998,"LT",NA,123000,NA,NA,"Gray","Gray","Automatic","2WD",8,"320horsepower@5200rpm","340torque@4200rpm","Fleet",5.3
2008,"Chevrolet","Tahoe",24599,"LTZ",NA,1e+05,NA,NA,"Black","Tan","Automatic","4WD",8,"320horsepower@5200rpm","340torque@4200rpm","Fleet",5.3
2015,"Chrysler","200",17998,"C",NA,43000,NA,NA,"White","Black","Automatic","4WD",6,"295horsepower@6350rpm","262torque@4250rpm","Fleet",3.6
2015,"Chrysler","200",NA,"C",NA,27000,NA,NA,"Black","Black","Automatic","4WD",6,"295horsepower@6350rpm","262torque@4250rpm","Fleet",3.6
2015,"Chrysler","200",NA,"S",NA,12000,NA,NA,"White","Black","Automatic","2WD",6,"295horsepower@6350rpm","262torque@4250rpm","Fleet",3.6
2015,"Chrysler","200",16599,"S",NA,23000,NA,NA,"Red","Black","Automatic","2WD",4,"184horsepower@6250rpm","173torque@4600rpm","Fleet",2.4
2013,"Chrysler","200",9998,"Touring",NA,79000,NA,NA,"White","Black","Automatic","2WD",6,"283horsepower@6400rpm","260torque@4400rpm","Fleet",3.6
2008,"Chrysler","Sebring",8998,"Touring",NA,76000,NA,NA,"Blue","Gray","Automatic","2WD",4,"189horsepower@6400rpm","191torque@4000rpm","Fleet",2.7
2012,"Chrysler","Town",NA,"and Country Touring",NA,83000,NA,NA,"Silver","Black","Automatic","2WD",6,"283horsepower@6400rpm","260torque@4400rpm","Fleet",3.6
2016,"Chrysler","Town",19998,"and Country Touring",NA,41000,NA,NA,"Gray","Black","Automatic","2WD",6,"283horsepower@6400rpm","260torque@4400rpm","Fleet",3.6
2014,"Chrysler","Town",21998,"and Country Touring L",NA,26000,NA,NA,"White","Black","Automatic","2WD",6,"283horsepower@6400rpm","260torque@4400rpm","Fleet",3.6
2012,"Dodge","Charger",13998,"SE",NA,88000,NA,NA,"Silver","Gray","Automatic","2WD",6,"292horsepower@6350rpm","260torque@4800rpm","Fleet",3.6
2014,"Dodge","Dart",13599,"GT",NA,42000,NA,NA,"Red","Black","Automatic","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2013,"Dodge","Dart",12998,"Rallye",NA,24000,NA,NA,"Red","Black","Automatic","2WD",4,"160horsepower@6400rpm","148torque@4600rpm","Fleet",2
2016,"Dodge","Dart",13998,"SE",NA,10000,NA,NA,"Blue","Black","Automatic","2WD",4,"160horsepower@6400rpm","148torque@4600rpm","Fleet",2
2014,"Dodge","Dart",12599,"SXT",NA,32000,NA,NA,"Red","Black","Automatic","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2014,"Dodge","Dart",11998,"SXT",NA,43000,NA,NA,"Silver","Black","Automatic","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2015,"Dodge","Dart",13998,"SXT",NA,22000,NA,NA,"Black","Tan","Automatic","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2016,"Dodge","Dart",14998,"SXT",NA,20000,NA,NA,"Blue","Black","Automatic","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2015,"Dodge","Dart",13998,"SXT",NA,14000,NA,NA,"Black","Black","Automatic","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2014,"Dodge","Dart",13599,"SXT",NA,36000,NA,NA,"Black","Black","Manual6Speed","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2016,"Dodge","Dart",14998,"SXT",NA,19000,NA,NA,"Black","Black","Automatic","2WD",4,"184horsepower@6250rpm","171torque@4800rpm","Fleet",2.4
2011,"Dodge","Grand",14599,"Caravan Mainstreet",NA,41000,NA,NA,"White","Black","Automatic","2WD",6,"283horsepower@6400rpm","260torque@4400rpm","Fleet",3.6
2016,"Dodge","Grand",19998,"Caravan SXT",NA,23000,NA,NA,"Blue","Tan","Automatic","2WD",6,"283horsepower@6400rpm","260torque@4400rpm","Fleet",3.6
2016,"Dodge","Journey",19998,"SXT",NA,18000,NA,NA,"Red","Tan","Automatic","4WD",6,"283horsepower@6350rpm","260torque@4400rpm","Fleet",3.6
2016,"Dodge","Journey",16998,"SXT",NA,43000,NA,NA,"Black","Black","Automatic","2WD",6,"283horsepower@6350rpm","260torque@4400rpm","Fleet",3.6
2016,"Dodge","Ram",28998,"1500 Bighorn",NA,19000,NA,NA,"Black","Gray","Automatic","4WD",8,"395horsepower@5600rpm","410torque@3950rpm","Fleet",5.7
2015,"Dodge","Ram",24998,"1500 Bighorn",NA,45000,NA,NA,"Gray","Gray","Automatic","4WD",8,"395horsepower@5600rpm","410torque@3950rpm","Fleet",5.7
2014,"Dodge","Ram",26998,"1500 Express",NA,30000,NA,NA,"Red","Gray","Automatic","4WD",8,"395horsepower@5600rpm","410torque@3950rpm","Fleet",5.7
2014,"Dodge","Ram",22998,"1500 SLT",NA,55000,NA,NA,"White","Gray","Automatic","4WD",8,"395horsepower@5600rpm","410torque@3950rpm","Fleet",5.7
2013,"Dodge","Ram",24998,"1500 SLT",NA,33000,NA,NA,"White","Gray","Automatic","4WD",8,"310horsepower@5650rpm","330torque@3950rpm","Fleet",4.7
2009,"Dodge","Ram",17998,"1500 SLT",NA,66000,NA,NA,"Black","Tan","Automatic","2WD",8,"310horsepower@5650rpm","330torque@3950rpm","Fleet",4.7
2015,"Dodge","Ram",23998,"1500 Tradesman",NA,24000,NA,NA,"White","Gray","Automatic","4WD",8,"395horsepower@5600rpm","410torque@3950rpm","Fleet",5.7
2013,"Dodge","Ram",22998,"1500 Tradesman",NA,51000,NA,NA,"Red","Gray","Automatic","4WD",6,"305horsepower@6400rpm","269torque@4175rpm","Fleet",3.6
2014,"Dodge","Ram",23998,"1500 Tradesman",NA,25000,NA,NA,"White","Gray","Automatic","4WD",6,"305horsepower@6400rpm","269torque@4175rpm","Fleet",3.6
2016,"Dodge","Ram",34998,"2500 Bighorn",NA,21000,NA,NA,"White","Gray","Automatic","4WD",8,"383horsepower@5600rpm","400torque@4000rpm","Fleet",5.7
2014,"Dodge","RAM",40998,"3500 Laramie",NA,62000,NA,NA,"Red","Tan","Automatic","4WD",6,"370horsepower@2800rpm","800torque@1600rpm","Fleet",6.7
2013,"Fiat","500",10998,"Pop",NA,21000,NA,NA,"Brown","Gray","Automatic","2WD",4,"101horsepower@6500rpm","98torque@4000rpm","Fleet",1.4
2016,"Fiat","500X",14998,"Pop",NA,11000,NA,NA,"Red","Black","Automatic","2WD",4,"N/A","N/A","Fleet",2.4
2016,"Fiat","500X",18998,"Trekking",NA,14000,NA,NA,"Tan","Black","Automatic","4WD",4,"180horsepower@6400rpm","175torque@3900rpm","Fleet",2.4
2013,"Ford","C-Max",13998,"SEL",NA,63000,NA,NA,"Silver","Black","Automatic","2WD",4,"141horsepower@6000rpm","129torque@4000rpm","Fleet",2
2013,"Ford","C-Max",13998,"SEL",NA,63000,NA,NA,"Silver","Black","Automatic","2WD",4,"141horsepower@6000rpm","129torque@4000rpm","Fleet",2
2013,"Ford","C-Max",16599,"SEL",NA,27000,NA,NA,"Green","Tan","Automatic","2WD",4,"141horsepower@6000rpm","129torque@4000rpm","Fleet",2
2015,"Ford","Edge",25998,"Titanium",NA,42000,NA,NA,"Gray","Black","Automatic","4WD",4,"245horsepower@5500rpm","275torque@3000rpm","Fleet",2
2015,"Ford","Edge",25998,"Titanium",NA,42000,NA,NA,"Gray","Black","Automatic","4WD",4,"245horsepower@5500rpm","275torque@3000rpm","Fleet",2
2014,"Ford","Expedition",39998,"EL Limited",NA,20000,NA,NA,"White","Tan","Automatic","4WD",8,"310horsepower@5100rpm","365torque@3600rpm","Fleet",5.4
2010,"Ford","F150",25998,"King Ranch",NA,63000,NA,NA,"White","Brown","Automatic","4WD",8,"310horsepower@5000rpm","365torque@3500rpm","Fleet",5.4
2010,"Ford","F150",25998,"King Ranch",NA,63000,NA,NA,"White","Brown","Automatic","4WD",8,"310horsepower@5000rpm","365torque@3500rpm","Fleet",5.4
2014,"Ford","F150",34998,"Lariat",NA,49000,NA,NA,"Gray","Black","Automatic","4WD",6,"365horsepower@5000rpm","420torque@2500rpm","Fleet",3.5
2014,"Ford","F150",31998,"Lariat",NA,37000,NA,NA,"Black","Gray","Automatic","4WD",6,"365horsepower@5000rpm","420torque@2500rpm","Fleet",3.5
2013,"Ford","F150",27998,"STX",NA,16000,NA,NA,"Red","Gray","Automatic","4WD",8,"360horsepower@5500rpm","380torque@4250rpm","Fleet",5
2012,"Ford","F150",NA,"XL",NA,57000,NA,NA,"White","Gray","Automatic","4WD",8,"360horsepower@5500rpm","380torque@4250rpm","Fleet",5
2013,"Ford","F150",23599,"XLT",NA,21000,NA,NA,"White","Gray","Automatic","2WD",6,"302horsepower@6500rpm","278torque@4000rpm","Fleet",3.7
2014,"Ford","F150",30998,"XLT",NA,19000,NA,NA,"Red","Gray","Automatic","4WD",6,"365horsepower@5000rpm","420torque@2500rpm","Fleet",3.5
2016,"Ford","F150",29998,"XLT",NA,31000,NA,NA,"Silver","Gray","Automatic","4WD",6,"283horsepower@6500rpm","255torque@4000rpm","Fleet",3.5
2013,"Ford","Focus",10599,"S",NA,48000,NA,NA,"White","Black","Manual5Speed","2WD",4,"160horsepower@6500rpm","146torque@4450rpm","Fleet",2
2013,"Ford","Focus",11998,"SE",NA,37000,NA,NA,"Black","Black","Automatic","2WD",4,"159horsepower@6500rpm","146torque@4450rpm","Fleet",2
2013,"Ford","Focus",11998,"SE",NA,37000,NA,NA,"Black","Black","Automatic","2WD",4,"159horsepower@6500rpm","146torque@4450rpm","Fleet",2
2016,"Ford","Focus",15998,"Titanium",NA,20000,NA,NA,"Black","Tan","Automatic","2WD",4,"160horsepower@6500rpm","146torque@4450rpm","Fleet",2
2012,"Ford","Focus",9998,"Electric",NA,37000,NA,NA,"Black","Gray","Automatic","2WD",NA,"123horsepower@0rpm","181torque@0rpm","Fleet",0
2015,"Ford","Fusion",13599,"S",NA,52000,NA,NA,"Silver","Gray","Automatic","2WD",4,"175horsepower@6000rpm","175torque@4500rpm","Fleet",2.5
2013,"Ford","Fusion",12599,"S",NA,50000,NA,NA,"Silver","Gray","Automatic","2WD",4,"170horsepower@0rpm","170torque@0rpm","Fleet",2.5
2013,"Ford","Fusion",12599,"S",NA,50000,NA,NA,"Silver","Gray","Automatic","2WD",4,"170horsepower@0rpm","170torque@0rpm","Fleet",2.5
2014,"Ford","Fusion",17998,"SE",NA,15000,NA,NA,"Red","Tan","Automatic","2WD",4,"240horsepower@5500rpm","270torque@3000rpm","Fleet",2
2014,"Ford","Fusion",13998,"SE",NA,32000,NA,NA,"Black","Black","Automatic","2WD",4,"175horsepower@6000rpm","175torque@4500rpm","Fleet",2.5
2014,"Ford","Fusion",14998,"SE",NA,32000,NA,NA,"Gray","Gray","Automatic","2WD",4,"175horsepower@6000rpm","175torque@4500rpm","Fleet",2.5
2016,"Ford","Fusion",16599,"SE",NA,16000,NA,NA,"Silver","Black","Automatic","2WD",4,"181horsepower@6000rpm","185torque@2700rpm","Fleet",1.5
2014,"Ford","Fusion",13998,"SE",NA,51000,NA,NA,"Green","Black","Automatic","2WD",4,"178horsepower@6000rpm","177torque@1500rpm","Fleet",1.5
2016,"Ford","Fusion",20599,"SE",NA,9000,NA,NA,"Silver","Black","Automatic","2WD",4,"181horsepower@6000rpm","185torque@2700rpm","Fleet",1.5
2014,"Ford","Fusion",14599,"SE",NA,18000,NA,NA,"Gray","Black","Automatic","2WD",4,"175horsepower@6000rpm","175torque@4500rpm","Fleet",2.5
2012,"Ford","Fusion",11998,"SEL",NA,77000,NA,NA,"Black","Black","Automatic","2WD",6,"240horsepower@6550rpm","223torque@4300rpm","Fleet",3
2009,"Ford","Fusion",11998,"SEL",NA,45000,NA,NA,"White","Black","Automatic","2WD",6,"221horsepower@6250rpm","205torque@4800rpm","Fleet",3
2016,"Ford","Fusion",16998,"Titanium",NA,42000,NA,NA,"Red","Black","Automatic","2WD",4,"240horsepower@5000rpm","270torque@3000rpm","Fleet",2
2014,"Ford","Mustang",22998,"GT",NA,45000,NA,NA,"Black","Black","Automatic","2WD",8,"420horsepower@6500rpm","390torque@4250rpm","Fleet",5
2016,"Ford","Transit",17599,"Connect XLT",NA,21000,NA,NA,"Gray","Gray","Automatic","2WD",4,"169horsepower@6000rpm","171torque@4500rpm","Fleet",2.5
2016,"Ford","Transit",17998,"Connect XLT",NA,16000,NA,NA,"Red","Black","Automatic","2WD",4,"169horsepower@6000rpm","171torque@4500rpm","Fleet",2.5
2015,"GMC","Terrain",17998,"SLE",NA,20000,NA,NA,"Silver","Black","Automatic","2WD",4,"182horsepower@6700rpm","172torque@4900rpm","Fleet",2.4
2013,"GMC","Terrain",17998,"SLT",NA,72000,NA,NA,"White","Black","Automatic","4WD",4,"182horsepower@6700rpm","172torque@4900rpm","Fleet",2.4
2011,"GMC","Terrain",12998,"SLT",NA,115000,NA,NA,"Brown","Brown","Automatic","2WD",4,"182horsepower@6700rpm","172torque@4900rpm","Fleet",2.4
2013,"GMC","Yukon",38998,"Denali",NA,33000,NA,NA,"White","Black","Automatic","4WD",8,"403horsepower@5700rpm","417torque@4300rpm","Fleet",6.2
2015,"GMC","Yukon",40998,"XL 1500 SLT",NA,52000,NA,NA,"Red","Black","Automatic","4WD",8,"376horsepower@5600rpm","416torque@4000rpm","Fleet",5.3
2016,"Honda","Civic",19998,"EX-T",NA,9000,NA,NA,"Black","Gray","Automatic","2WD",4,"174horsepower@6000rpm","162torque@1700rpm","Fleet",1.5
2016,"Honda","Civic",19998,"EX-T",NA,9000,NA,NA,"Black","Gray","Automatic","2WD",4,"174horsepower@6000rpm","162torque@1700rpm","Fleet",1.5
2011,"Honda","CR-V",16599,"EX",NA,34000,NA,NA,"Green","Tan","Automatic","2WD",4,"180horsepower@6800rpm","161torque@4400rpm","Fleet",2.4
2014,"Honda","Odyssey",28998,"EX-L",NA,16000,NA,NA,"Black","Gray","Automatic","2WD",6,"248horsepower@5700rpm","250torque@4800rpm","Fleet",3.5
2014,"Honda","Odyssey",29998,"Touring Elite",NA,44000,NA,NA,"Silver","Gray","Automatic","2WD",6,"248horsepower@5700rpm","250torque@4800rpm","Fleet",3.5
2011,"Honda","Pilot",14599,"EX",NA,126000,NA,NA,"Silver","Gray","Automatic","2WD",6,"250horsepower@5700rpm","253torque@4800rpm","Fleet",3.5
2011,"Honda","Pilot",15599,"EX-L",NA,109000,NA,NA,"Gray","Gray","Automatic","2WD",6,"250horsepower@5700rpm","253torque@4800rpm","Fleet",3.5
2014,"Hyundai","Accent",12599,"GLS",NA,21000,NA,NA,"Gray","Gray","Automatic","2WD",4,"138horsepower@6300rpm","123torque@4850rpm","Fleet",1.6
2013,"Hyundai","Elantra",12599,"GLS",NA,44000,NA,NA,"Black","Tan","Automatic","2WD",4,"148horsepower@6500rpm","131torque@4700rpm","Fleet",1.8
2013,"Hyundai","Elantra",10998,"GLS",NA,59000,NA,NA,"Gold","Tan","Automatic","2WD",4,"148horsepower@6500rpm","131torque@4700rpm","Fleet",1.8
2012,"Hyundai","Elantra",11998,"GLS",NA,44000,NA,NA,"Black","Gray","Automatic","2WD",4,"148horsepower@6500rpm","131torque@4700rpm","Fleet",1.8
