"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
3000,2002,"Honda","Civic",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
5500,2014,"FORD","FIESTA",NA,"            automatic","            salvage",NA,NA,"            gas",NA,NA
2950,2001,"Mercedes","C240",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
4850,2008,"Honda","Civic","            140000","            automatic","            salvage",NA,"            fwd","            gas",NA,NA
8900,2009,"subaru","legacy 2.5i","            98000","            automatic","            clean","            excellent","            4wd","            gas",NA,NA
3500,2004,"Silverado","",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
10990,2010,"Toyota","Camry LE","            54000","            automatic","            clean","            excellent","            fwd","            gas","           paint color: silver","            mid-size"
8400,2012,"volkswagen","jetta","            74000","            automatic","            clean","            excellent",NA,"            gas",NA,NA
5500,1997,"Chevy","Silverado",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
1650,2001,"Volkswagen","","            154000","            automatic","            clean","            good",NA,"            gas",NA,NA
19455,2013,"Nissan","Quest","            56213","            automatic","            clean",NA,"            fwd","            gas","           paint color: grey","            mid-size"
1900,1972,"Ford","f100",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
6900,2006,"volkswagen","gti","            89000","            manual","            clean","            excellent",NA,"            gas",NA,NA
8000,1985,"buick","regal",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
7800,2008,"mercedes-benz","e350","            101108","            automatic","            clean","            excellent","            rwd","            gas","           paint color: grey","            mid-size"
5000,2007,"Mitsubishi","Raider Double Cab",NA,"            automatic","            clean","            excellent","            rwd","            gas",NA,"            full-size"
15900,2007,"Toyota","Tundra","            194500","            automatic","            clean","            good",NA,"            gas","           paint color: black","            full-size"
4550,2007,"Toyota","Camry XLE","            140000","            automatic","            salvage",NA,NA,"            gas",NA,NA
8980,2013,"Nissan","LEAF","            33539","            automatic","            clean",NA,"            fwd","            electric","           paint color: custom","            compact"
6500,1999,"ford","f-250 4x4","            300000","            automatic","            clean","            good","            4wd","            diesel","           paint color: green",NA
2970,1999,"Club","Car",NA,"            automatic","            clean","            like new",NA,"            electric","           paint color: blue",NA
6500,2012,"NISSAN","","            117","            automatic","            clean","            excellent","            fwd","            gas","           paint color: brown","            mid-size"
1950,2000,"Ford","","            150","            automatic","            clean","            good",NA,"            gas","           paint color: blue","            mid-size"
17500,1985,"Chevrolet","El Camino","            27224","            automatic","            clean","            like new","            rwd","            gas",NA,"            full-size"
1099,2013,"Chevrolet","Sonic","            70642","            automatic","            clean","            excellent","            fwd","            gas",NA,NA
8700,2014,"Toyota","corolla le","	<meta name=""description"" content=""8 9 Â© craigslist - Map data Â© OpenStreetMap (google map) 2014 Toyota corolla le cylinders: 4 cylinders drive: fwd fuel: gas  7000 title status: rebuilt transmission: automatic 2014 Toyota..."">","	<meta name=""description"" content=""8 9 Â© craigslist - Map data Â© OpenStreetMap (google map) 2014 Toyota corolla le cylinders: 4 cylinders drive: fwd fuel: gas odometer: 7000 title status: rebuilt  automatic 2014 Toyota..."">","	<meta name=""description"" content=""8 9 Â© craigslist - Map data Â© OpenStreetMap (google map) 2014 Toyota corolla le cylinders: 4 cylinders drive: fwd fuel: gas odometer: 7000  rebuilt transmission: automatic 2014 Toyota..."">",NA,"	<meta name=""description"" content=""8 9 Â© craigslist - Map data Â© OpenStreetMap (google map) 2014 Toyota corolla le cylinders: 4 cylinders  fwd fuel: gas odometer: 7000 title status: rebuilt transmission: automatic 2014 Toyota..."">","	<meta name=""description"" content=""8 9 Â© craigslist - Map data Â© OpenStreetMap (google map) 2014 Toyota corolla le cylinders: 4 cylinders drive: fwd  gas odometer: 7000 title status: rebuilt transmission: automatic 2014 Toyota..."">",NA,NA
6900,1941,"Plymouth","",NA,"            automatic","            clean","            excellent","            rwd","            gas",NA,NA
NA,2013,"Chevrolet","Silverado 1500 LT","            14753","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2006,"Ford","F-250",NA,"            automatic","            clean","            excellent",NA,"            gas",NA,NA
7200,2009,"Scion","tC","            130000","            automatic","            clean","            excellent","            fwd","            gas","           paint color: black",NA
37994,2015,"Ford","Mustang","            24105","            manual","            clean","            excellent","            rwd","            gas","           paint color: grey","            mid-size"
15800,1999,"Ford","F550","            180043","            automatic","            clean","            excellent","            rwd","            diesel","           paint color: white","            full-size"
10900,2007,"Chevy","Kodiak","            245000","            automatic","            clean",NA,NA,"            diesel",NA,NA
1599,2007,"Nissan","MURANO","            81033","            automatic","            clean","            excellent",NA,"            gas",NA,NA
7200,2009,"volkswagen","cc",NA,"            automatic","            clean","            excellent",NA,"            gas","           paint color: white",NA
4000,1993,"Chevrolet","C3500",NA,"            automatic","            clean","            good",NA,"            diesel","           paint color: white",NA
