"Year","Make","Model","Trim","Body","Mileage","VIN","TitleType","ExteriorColor","InteriorColor","Transmission","Price"
2016,"Honda","Civic","LX","Sedan",13593,"19XFC2F54GE200445","","Black","","Automatic","$15,995"
2017,"Honda","Civic","LX","Sedan",11,"2HGFC2F54HH522087","","Red","Black","Automatic","$19,222"
2017,"Honda","Civic","LX","Hatchback",11,"SHHFK7H25HU209409","","Black","Black","Automatic","$20,835"
2017,"Honda","Civic","SportTouring","Hatchback",11,"SHHFK7H97HU215466","","Black","Black","Automatic","$29,323"
2017,"Honda","Civic","Sport","Hatchback",11,"SHHFK7H49HU210578","","Black","Black","Automatic","$22,475"
1997,"Honda","Civic","EX","Sedan",222459,"2HGEJ8646VH564316","","Green","","Automatic","$2,999"
2017,"Honda","Civic","EX","Hatchback",3,"SHHFK7H55HU210814","","","Black","Automatic","MSRP $27,793"
2017,"Honda","Civic","EX","Sedan",11,"2HGFC2F76HH521623","","Red","Black","Automatic","$20,718"
2017,"Honda","Civic","LX","Sedan",11,"19XFC2F53HE025719","","","Black","Automatic","$19,222"
2017,"Honda","Civic","EX-T","Coupe",6,"2HGFC3B34HH357166","","Blue","Black","Automatic","$21,897"
2017,"Honda","Civic","LX","Hatchback",10,"SHHFK7H27HU209413","","Black","Black","Automatic","$20,835"
2017,"Honda","Civic","EX","Sedan",10,"19XFC2F78HE011428","","LunarSilverMetallic","Black","Automatic","$20,678"
2016,"Honda","Civic","EX-L","Sedan",9386,"19XFC1F79GE032328","","LunarSilverMetallic","Black","Automatic","$23,072"
