"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
2250,2006,"chrysler","sebring 4-door","            156000","            automatic","            clean","            good","            fwd","            gas","           paint color: blue","            full-size"
2200,1993,"jeep","grand cherokee",NA,"            automatic","            clean",NA,NA,"            gas","           paint color: grey",NA
2500,1996,"Chevy","Tahoe","            214","            automatic","            clean","            good","            4wd","            gas",NA,NA
4200,1992,"Toyota","Tacoma","            231000","            manual","            clean","            good","            4wd","            gas","           paint color: white","            mid-size"
19777,2013,"Toyota","Avalon Hybrid XLE Touring",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
2700,2006,"buick","lucerne cxl v6","            200000","            automatic","            clean","            good","            fwd","            gas","           paint color: brown","            full-size"
15999,2007,"Chevrolet"," Avalanche 1500 LT 4x4","            121752","            automatic","            clean",NA,"            4wd","            gas","           paint color: black",NA
21999,2016,"Subaru","Legacy","            14834","            automatic","            clean",NA,"            ","            gas","           paint color: custom",NA
9499,2013,"Nissan","LEAF","            9735","            automatic","            clean",NA,"            fwd","            gas","           paint color: black",NA
8900,2011,"Ford","Fusion Hybrid","            68785","            automatic","            clean",NA,"            fwd","            hybrid","           paint color: grey",NA
2700,1987,"toyota","pickup",NA,"            manual","            clean",NA,NA,"            gas",NA,NA
8277,2015,"Fiat","500e",NA,"            automatic","            clean",NA,"            fwd","            electric","           paint color: blue",NA
10700,2008,"bmw","3-series 335i","            69200","            automatic","            salvage","            excellent","            rwd","            gas","           paint color: silver",NA
8400,2006,"cadillac","escalade","            123400","            automatic","            rebuilt","            good",NA,"            gas","           paint color: black",NA
500,1991,"subaru","legacy","            121312","            automatic","            clean","            fair","            fwd","            gas","           paint color: white","            mid-size"
4500,2003,"2003","Toyota Camry","            198000","            automatic","            clean","            like new","            fwd","            gas","           paint color: brown",NA
3000,1976,"MGB","","            90745","            manual","            clean","            good","            rwd","            gas",NA,"            compact"
1600,1999,"volkswagen","passat",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
19477,2013,"Lincoln","MKZ/Zephyr Twin Turbo AW",NA,"            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
9995,2003,"Ford","F-150 XLT 4dr SuperCab XLT",NA,"            automatic","            clean",NA,"            rwd","            gas","           paint color: white",NA
23484,2014,"Hyundai","Tucson","            25667","            automatic","            clean",NA,"            ","            gas","           paint color: black",NA
17977,2010,"Honda","Ridgeline RTL",NA,"            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
16999,2013,"Ford","Escape","            66651","            automatic","            clean",NA,"            4wd","            gas","           paint color: custom",NA
3000,2002,"Ford","Explorer",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
13541,2006,"Lexus","LS 430","            121693","            automatic","            clean",NA,"            rwd","            gas","           paint color: grey",NA
39750,2015,"jeep","grand cherokee limited 4wd","            8000","            automatic","            clean","            like new","            4wd","            diesel","           paint color: black","            mid-size"
16921,2015,"Toyota","Corolla","            23644","            other","            clean",NA,"            fwd","            gas","           paint color: blue",NA
19231,2014,"Toyota","Camry","            26381","            automatic","            clean",NA,"            fwd","            gas","           paint color: red",NA
5795,2005,"mini","cooper hardtop s","            136000","            manual","            clean","            good","            fwd","            gas","           paint color: grey","            sub-compact"
22577,2011,"GMC","Yukon SLT",NA,"            automatic","            clean",NA,"            4wd","            other","           paint color: black",NA
3000,2002,"Toyota","Camry","            152196","            automatic","            salvage","            fair",NA,"            gas","           paint color: silver",NA
10500,2002,"dodge","caravan","            100000","            automatic","            clean",NA,NA,"            gas",NA,NA
13465,2015,"Toyota","Corolla","            31718","            automatic","            clean",NA,NA,"            gas","           paint color: red",NA
6000,2006,"Ford","F250 Powerstroke","            193231","            automatic","            clean","            excellent","            rwd","            diesel","           paint color: white","            full-size"
17265,2015,"Mazda","Mazda3","            22713","            automatic","            clean",NA,NA,"            gas","           paint color: red",NA
17448,2014,"Ram","1500","            13316","            automatic","            clean",NA,NA,"            gas","           paint color: red",NA
3850,1997,"1997","Tacoma",NA,"            manual","            clean",NA,NA,"            gas",NA,NA
4700,2007,"subaru","impreza",NA,"            manual","            clean",NA,NA,"            gas",NA,NA
3700,2004,"Hyundai","Tiburon",NA,"            automatic","            clean","            good","            fwd","            gas","           paint color: red","            compact"
NA,2015,"Ram","3500","            22599","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
24574,2016,"Honda","Accord","            8865","            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
7000,2010,"Ford","Focus","            76000","            automatic","            clean","            excellent","            fwd","            gas","           paint color: silver","            compact"
1200,1979,"amc","amx",NA,"            automatic","            parts only",NA,NA,"            gas",NA,NA
